SIG-REWRITE	SIG	bytes.vl	impl DataView	write_f64	offset	i32 -> usize
SIG-REWRITE	SIG	compare.vl	impl List<type T: PartialEq>	index_of	<ret>	Option<i32> -> Option<usize>
SIG-REWRITE	SIG	crypto.vl		random_bytes	length	i32 -> usize
SIG-REWRITE	FIELD	delta.vl	struct DeltaLog		limit	i32 -> usize
SIG-REWRITE	SIG	delta.vl	impl DeltaLog<type O>	with_limit	limit	i32 -> usize
SIG-REWRITE	SIG	delta.vl	impl DeltaLog<type O>	held	<ret>	i32 -> usize
SIG-REWRITE	SIG	iterator.vl	trait Iterator	take	count	i32 -> usize
SIG-REWRITE	SIG	iterator.vl	trait Iterator	skip	count	i32 -> usize
SIG-REWRITE	SIG	iterator.vl	trait Iterator	count	<ret>	i32 -> usize
SIG-REWRITE	FIELD	iterator.vl	struct ListIterator		index	i32 -> usize
SIG-REWRITE	FIELD	iterator.vl	struct Taken		remaining	i32 -> usize
SIG-REWRITE	FIELD	iterator.vl	struct Skipped		pending	i32 -> usize
SIG-REWRITE	FIELD	iterator.vl	struct Enumerated		index	i32 -> usize
SIG-REWRITE	FIELD	json.vl	struct JsonReader		list_marks	List<i32> -> List<usize>
SIG-REWRITE	SIG	list.vl	impl List<type T>	len	<ret>	i32 -> usize
SIG-REWRITE	SIG	list.vl	impl List<type T>	insert	index	i32 -> usize
SIG-REWRITE	SIG	list.vl	impl List<type T>	remove	index	i32 -> usize
SIG-REWRITE	SIG	map.vl	impl Map<type K: Hashable, type V>	len	<ret>	i32 -> usize
SIG-REWRITE	SIG	markdown.vl		index_of	from	i32 -> usize
SIG-REWRITE	SIG	markdown.vl		index_of	<ret>	Option<i32> -> Option<usize>
SIG-REWRITE	SIG	markdown.vl		leading_spaces	<ret>	i32 -> usize
SIG-REWRITE	SIG	markdown.vl		dedent	columns	i32 -> usize
SIG-REWRITE	SIG	markdown.vl		same_char_line	minimum	i32 -> usize
SIG-REWRITE	SIG	markdown.vl		list_item_content_offset	<ret>	i32 -> usize
SIG-REWRITE	SIG	markdown.vl		is_fence_close	indent	i32 -> usize
SIG-REWRITE	SIG	markdown.vl		entity_length	i	i32 -> usize
SIG-REWRITE	SIG	markdown.vl		entity_length	<ret>	i32 -> usize
SIG-REWRITE	SIG	markdown.vl		parse_blocks	first_line	i32 -> usize
